subset_in_appendix_e,features
"Home Credit, LR: Stable core + LLM fill",EXT_SOURCE_2; EXT_SOURCE_3; PREV_INTEREST_ESTIMATE_MAX; EXT_SOURCE_1; DAYS_EMPLOYED; BURO_DEBT_CREDIT_DIFF_MIN; INSTAL_IS_LATE_MEAN; INSTAL_PAYMENT_DIFF_MEAN; PREV_INTEREST_ESTIMATE_VAR; DAYS_REGISTRATION; POS_SK_DPD_DEF_MEAN; BURO_DEBT_CREDIT_DIFF_MEAN; PREV_INTEREST_ESTIMATE_MEAN; CC_CNT_DRAWINGS_ATM_CURRENT_MEAN; DAYS_BIRTH; AMT_CREDIT; AMT_GOODS_PRICE; AMT_ANNUITY; BURO_DEBT_RATIO_MAX; BURO_DEBT_RATIO_MEAN
"Home Credit, LR: mRMR",EXT_SOURCE_3; EXT_SOURCE_2; CODE_GENDER; CC_CNT_DRAWINGS_ATM_CURRENT_MEAN; POS_LATE_PAYMENT_MEAN; DEF_30_CNT_SOCIAL_CIRCLE; PREV_AMT_DOWN_PAYMENT_SUM; FLAG_WORK_PHONE; BURO_AMT_CREDIT_SUM_LIMIT_MIN; CC_AMT_DRAWINGS_ATM_CURRENT_MIN; EXT_SOURCE_1; PREV_RATE_INTEREST_PRIMARY_VAR; WEEKDAY_APPR_PROCESS_START; PREV_DAYS_FIRST_DRAWING_VAR; COMMONAREA_AVG; FLAG_CONT_MOBILE; FLAG_DOCUMENT_3; PREV_NFLAG_LAST_APPL_IN_DAY_MEAN; AMT_REQ_CREDIT_BUREAU_QRT; NAME_HOUSING_TYPE
"Home Credit, CatBoost: Pure LLM",EXT_SOURCE_3; EXT_SOURCE_2; EXT_SOURCE_1; DAYS_BIRTH; DAYS_EMPLOYED; OCCUPATION_TYPE; NAME_INCOME_TYPE; NAME_EDUCATION_TYPE; NAME_FAMILY_STATUS; CODE_GENDER; AMT_CREDIT; AMT_GOODS_PRICE; AMT_ANNUITY; BURO_DEBT_RATIO_MAX; BURO_DEBT_RATIO_MEAN; BURO_DAYS_CREDIT_MEAN; BURO_DAYS_CREDIT_UPDATE_MEAN; BURO_DAYS_CREDIT_ENDDATE_MEAN; BURO_DAYS_CREDIT_MAX; BURO_DAYS_CREDIT_MIN; BURO_DAYS_ENDDATE_FACT_MEAN; BURO_DEBT_CREDIT_DIFF_MEAN; BURO_DEBT_RATIO_VAR; BURO_AMT_CREDIT_SUM_DEBT_MEAN; BURO_AMT_CREDIT_SUM_DEBT_SUM; BURO_AMT_CREDIT_SUM_LIMIT_MEAN; BURO_AMT_CREDIT_SUM_LIMIT_SUM; BURO_AMT_CREDIT_SUM_DEBT_VAR; BURO_DAYS_CREDIT_UPDATE_MAX; BURO_DAYS_CREDIT_ENDDATE_MAX; BURO_DAYS_CREDIT_UPDATE_VAR; BURO_DAYS_CREDIT_VAR; BURO_CREDIT_DURATION_MEAN; BURO_CREDIT_DURATION_MAX; BURO_CREDIT_DURATION_VAR; BURO_AMT_ANNUITY_SUM; BURO_CNT_CREDIT_PROLONG_MEAN; BURO_CNT_CREDIT_PROLONG_MAX; BURO_CNT_CREDIT_PROLONG_SUM; INSTAL_PAYMENT_RATIO_MEAN
"Home Credit, CatBoost: RFE CatBoost",EXT_SOURCE_2; EXT_SOURCE_3; EXT_SOURCE_1; PREV_INTEREST_ESTIMATE_MAX; DAYS_BIRTH; INSTAL_AMT_PAYMENT_SUM; INSTAL_IS_LATE_MEAN; DAYS_EMPLOYED; AMT_CREDIT; AMT_ANNUITY; AMT_GOODS_PRICE; INSTAL_DAYS_DIFF_MAX; PREV_DAYS_FIRST_DUE_SUM; CODE_GENDER; BURO_DEBT_RATIO_SUM; BURO_DEBT_RATIO_MAX; INSTAL_DAYS_INSTALMENT_VAR; PREV_APPLICATION_DIFF_MAX; PREV_DAYS_LAST_DUE_1ST_VERSION_MAX; BURO_DAYS_CREDIT_ENDDATE_MAX; NAME_EDUCATION_TYPE; BURO_DEBT_CREDIT_DIFF_SUM; INSTAL_PAYMENT_RATIO_MEAN; BURO_AMT_CREDIT_SUM_MAX; CC_LIMIT_USE_MEAN; PREV_INTEREST_ESTIMATE_SUM; INSTAL_AMT_PAYMENT_MAX; BURO_DAYS_CREDIT_MEAN; DAYS_REGISTRATION; CC_CNT_DRAWINGS_CURRENT_VAR; REGION_POPULATION_RELATIVE; POS_TOTAL_INSTALMENT_PROG_MEAN; PREV_DAYS_LAST_DUE_MAX; CC_CNT_DRAWINGS_ATM_CURRENT_MEAN; DAYS_ID_PUBLISH; BURO_DEBT_RATIO_MEAN; INSTAL_PAYMENT_DIFF_MAX; OWN_CAR_AGE; NAME_FAMILY_STATUS; BURO_DEBT_CREDIT_DIFF_MIN
"LendingClub v2, LR: Pure LLM",fico_mean; fico_band; loan_to_income; dti; annual_inc; loan_amnt; term; home_ownership; verification_status; purpose; total_bc_limit; bc_open_to_buy; bc_util; total_rev_hi_lim; revol_util; num_actv_rev_tl; num_rev_tl_bal_gt_0; acc_open_past_24mths; num_tl_op_past_12m; credit_history_years
"LendingClub v2, LR: IV then Boruta",term_home_ownership; term_verification_status; term; term_months; term_x_loan_to_income; fico_band_x_term; loan_amnt_to_income; loan_to_income; loan_to_income_x_fico; fico_mean; fico_midpoint_scaled; fico_range_high; fico_range_low; fico_band; total_bc_limit_to_loan_amnt; tot_hi_cred_lim_to_loan_amnt; bc_open_to_buy_to_loan_amnt; acc_open_past_24mths_per_credit_history_year; acc_open_past_24mths_per_total_acc; acc_open_past_24mths_share
"LendingClub v2, CatBoost: LLM then mRMR",term_60 months; acc_open_past_24mths_share; dti; fico_mean; term_36 months; term_home_ownership_60 months__RENT; term_x_loan_to_income; fico_band_x_term_near_prime__60 months; acc_open_past_24mths_per_total_acc; term_home_ownership_36 months__MORTGAGE; fico_range_high; term_verification_status_60 months__Source Verified; acc_open_past_24mths_per_credit_history_year; term_verification_status_60 months__Verified; fico_range_low; loan_to_income; log_avg_cur_bal; fico_midpoint_scaled; loan_amnt_to_income; acc_open_past_24mths; sqrt_avg_cur_bal; dti_x_bc_util; total_bc_limit_to_loan_amnt; log_acc_open_past_24mths; mort_acc_per_open_acc; fico_band_x_term_prime__60 months; num_tl_op_past_12m_per_credit_history_year; term_home_ownership_60 months__MORTGAGE; term_verification_status_36 months__Not Verified; num_tl_op_past_12m_per_total_acc; dti_x_revol_util; avg_cur_bal; loan_to_income_x_fico; total_bc_limit_per_bc_trade; balance_to_high_credit_limit; verification_group_x_loan_to_income_band_verified__extreme; bc_open_to_buy_to_loan_amnt; dti_band_high; fico_band_near_prime; mths_since_recent_inq
"LendingClub v2, CatBoost: IV then Boruta",term_home_ownership; term_verification_status; term; term_months; term_x_loan_to_income; fico_band_x_term; loan_amnt_to_income; loan_to_income; loan_to_income_x_fico; fico_mean; fico_midpoint_scaled; fico_range_high; fico_range_low; fico_band; total_bc_limit_to_loan_amnt; tot_hi_cred_lim_to_loan_amnt; bc_open_to_buy_to_loan_amnt; acc_open_past_24mths_per_credit_history_year; acc_open_past_24mths_per_total_acc; acc_open_past_24mths_share; total_rev_hi_lim_to_loan_amnt; acc_open_past_24mths; log_acc_open_past_24mths; avg_cur_bal_to_loan_amnt; acc_open_past_24mths_band; dti_x_bc_util; dti; prime_fico_flag; dti_x_revol_util; dti_band; tot_cur_bal_to_loan_amnt; num_tl_op_past_12m_per_credit_history_year; loan_to_total_credit_limit_v2; loan_to_total_limit; acc_open_past_24mths_per_open_acc; balance_to_high_credit_limit; log_num_tl_op_past_12m; num_tl_op_past_12m; num_tl_op_past_12m_per_total_acc; num_tl_op_past_12m_share
"Stability 2024, LR: Pure LLM",d0__static__maxdpdlast24m_143P; d0__static__maxdpdlast12m_727P; d0__static__maxdpdlast9m_1059P; d0__static__maxdpdlast6m_474P; d0__static__maxdpdlast3m_392P; d0__static__maxdpdtolerance_374P; d0__static__maxdbddpdtollast12m_3658940P; d0__static__maxdbddpdlast1m_3658939P; d0__static__avgdbddpdlast24m_3658932P; d0__static__avgdpdtolclosure24_3658938P; d0__static__actualdpdtolerance_344P; d0__static__numinstlswithdpd10_728L; d0__static__numinstlswithdpd5_4187116L; d0__static__numinstlswithoutdpd_562L; d0__static__numinstpaidlate1d_3546852L; d0__static__numinstregularpaid_973L; d0__static__numinsttopaygr_769L; d0__static__numinstunpaidmax_3546851L; d0__static__pctinstlsallpaidlat10d_839L; d0__static__pctinstlsallpaidlate1d_3546856L
"Stability 2024, LR: RFE CatBoost",d1__credit_bureau_a__dpdmaxdateyear_596T__mean; d1__credit_bureau_a__numberofoverdueinstlmax_1039L__mean; d0__static__price_1097A; d1__credit_bureau_a__dateofcredstart_739D__mean; d1__credit_bureau_a__numberofoverdueinstlmax_1151L__mean; d0__static__lastrejectdate_50D; d0__static__maxdbddpdtollast12m_3658940P; d1__applprev__maxdpdtolerance_577P__mean; d0__static_cb__pmtssum_45A; d1__credit_bureau_a__residualamount_856A__mean; d0__static__pmtnum_254L; d1__credit_bureau_a__totalamount_6A__sum; d1__person__birth_259D__max; d1__person__incometype_1044T__first_by_num_group1; d0__static__numinstlallpaidearly3d_817L; d1__credit_bureau_a__overdueamountmax2_14A__mean; d1__tax_registry_a__amount_4527230A__sum; d0__static_cb__days90_310L; d1__credit_bureau_a__totalamount_996A__max; d1__credit_bureau_a__overdueamountmax_35A__mean
